# U,V,K,OSMID,NAME
311683695,3461418104,0,703233214,Ruta D-410
311683695,959025842,0,82332202,Ruta D-410
311684275,2186546975,0,208355718,Ruta D-430
311684275,2186547690,0,1111156747,Tongoy - Guanaqueros
311684275,311684276,0,1111156750,Ruta D-430
311684276,2186546975,0,511858431,nan
311684276,1482039997,0,[28381033, 1111156749],Ruta D-430
311684276,311684275,0,1111156750,Ruta D-430
311684307,8668013502,0,935356209,nan
311684307,7419450579,0,1148101614,Ruta D-415
311684307,8668013546,0,1148101614,Ruta D-415
311684308,8668013536,0,935356217,nan
311684308,8668013445,0,1148101614,Ruta D-415
311684308,8668013531,0,1148101614,Ruta D-415
311684310,5918511951,0,1164024661,nan
311684310,8667998951,0,793488567,21 de Mayo
311684310,311684313,0,1148101614,Ruta D-415
311684313,8667998949,0,935345396,nan
311684313,311684310,0,1148101614,Ruta D-415
311684313,7419450579,0,1148101614,Ruta D-415
311684550,8556571644,0,28380194,Ruta D-415
311684550,8556571585,0,998808254,nan
311684793,2437256136,0,918565197,nan
311684793,2437256140,0,235646089,nan
311684793,2437256157,0,[496536872, 1111156742, 496536871],Ruta D-427
311684793,5620569734,0,1111156742,Ruta D-427
311684800,2186546920,0,1111156744,Ruta D-430
311684800,2186547131,0,1111156746,Ruta D-430
311684800,10681818273,0,[1111156745, 409619910],Salvador Dali
311684868,7417387809,0,793248174,nan
311684868,4882421517,0,[82332206, 1111156742],Ruta D-427
311684868,7417404825,0,82332206,Ruta D-427
311684868,7417387803,0,793248174,nan
311684945,8667667473,0,28380478,Ruta D-437
311684945,2437277191,0,28380478,Ruta D-437
311684945,2437276970,0,235646785,nan
311684946,2437256138,0,28380478,Ruta D-437
311684946,8667667490,0,28380478,Ruta D-437
311684946,8667667494,0,935324795,nan
311684975,6604077803,0,199697399,Ruta D-440
311684975,2096811448,0,199697417,Ruta D-440
311685039,8667212550,0,235646788,nan
311685173,958937820,0,135324468,Guanaqueros
311685173,2435564345,0,1116599375,Ruta D-440
311685173,958937464,0,1116599376,Fundición Norte
311685173,2435564333,0,1116599377,Ruta D-430
311685178,1563468986,0,28380236,nan
311685178,4737521757,0,480786458,Ruta D-421
311685178,8728448386,0,480786458,Ruta D-421
311685440,1970134422,0,82332206,Ruta D-427
311685440,959025936,0,1086232905,nan
311685440,959025909,0,1161223635,Ruta D-427
311686865,8668706911,0,1157727476,nan
311686865,10748486426,0,1157727475,Avenida Waldo Alcalde
311686865,9008652462,0,1157727477,Camino San Ramón
311687473,8667922373,0,28381011,Ruta D-51
311687473,1550468903,0,28381011,Ruta D-51
311687473,8667922372,0,626937355,nan
311687638,8862149172,0,28380374,Ruta D-516
311687638,8862393018,0,28380510,Ruta D-510
311687638,5996539040,0,793480112,Ruta D-510
311688611,9780275143,0,28380374,Ruta D-516
311688611,6367876421,0,28380374,Ruta D-516
311688611,6367876062,0,680095189,nan
311703804,1165535052,0,[246407562, 699155739],Ruta 5 Norte
311703804,3756516277,0,372117522,nan
311703992,8728447775,0,235646092,nan
311703992,5851714024,0,[705484808, 28380875],Ruta D-417
311703992,2437256148,0,918565221,Ruta D-417
311705368,3649863090,0,141646240,Camino Ovalle La Serena
311705368,3424068505,0,[1064878473, 578279219],Camino Ovalle La Serena
311705388,1001258836,0,547310444,18 de Septiembre
311705388,5288220162,0,86257377,nan
311705388,5288220197,0,1160286141,Chorrillos
311705402,1001258724,0,86257283,Lourdes
311705402,3832541864,0,566726322,nan
359300125,1067140303,0,1150195896,Regimiento Coquimbo
359300125,5748272987,0,[91829384, 829950636, 829950637],Camino al Fuerte
359300125,1067140933,0,1116549522,Regimiento Coquimbo
359300873,1068959868,0,1150248082,Almirante Latorre
359300873,1098897679,0,1150472238,Almirante Latorre
359300987,1064724945,0,212546522,Almirante Latorre
359300987,1064753253,0,1150248082,Almirante Latorre
359300987,1064725006,0,91973586,Juan Gregorio Las Heras
359300987,359300996,0,798020511,Juan Gregorio Las Heras
359300996,1064753790,0,1149968649,Manuel Rodríguez
359300996,1064753299,0,1150472237,Juan Gregorio Las Heras
359300996,1064753644,0,91648332,Luis Uribe
359300996,1064753249,0,212546511,Manuel Rodríguez
359300996,359300987,0,798020511,Juan Gregorio Las Heras
359304963,359305076,0,212548424,Alonso de Ercilla
359304963,1064753272,0,1150248087,Juan Gregorio Las Heras
359304963,1064724955,0,1150736225,Alonso de Ercilla
359305076,1064753529,0,32025173,Dublé Almeyda
359305076,359304963,0,212548424,Alonso de Ercilla
359305076,1064753871,0,212548426,Alonso de Ercilla
359305148,359305168,0,32025154,Juan Pablo II
359305148,1064753560,0,524554143,Dublé Almeyda
359305148,1064753454,0,524554143,Dublé Almeyda
359305168,359305148,0,32025154,Juan Pablo II
359305209,1064753013,0,1150243473,Bellamar
359305209,1064753564,0,1150243467,Bellamar
359305209,1064753560,0,1150243468,Dublé Almeyda
359305319,1064724984,0,1150736216,Camilo Henríquez
359305319,359305483,0,792675343,Luis Ayala
359305408,1064753083,0,212548420,Bellamar
359305408,401399086,0,212548422,Luis Ayala
359305408,1064753689,0,1150730587,Luis Ayala
359305483,1067140843,0,212546514,Diego Portales Palazuelos
359305483,401399086,0,212548422,Luis Ayala
359305483,359305319,0,792675343,Luis Ayala
359305637,359305408,0,195618920,Bellamar
359305637,1064753489,0,[91648340, 232290967],Los Aromos
359305948,1162802161,0,1149404004,Carmona
359305948,1068968377,0,788090627,Carmona
359305948,1001283569,0,1149404005,Avenida Videla
359306097,1068959686,0,99621263,Santiago Trigo
359306097,1068959873,0,1149193751,Carmona
359306097,1001258143,0,1149193751,Carmona
359306173,1001258519,0,1148924446,Nueva Videla
359306173,1001258523,0,497489118,Doctor Moukarzel
365157978,996081630,0,27081725,Andrés Juliá Vicens
365157978,1503141470,0,137026620,Los Lagos
365157978,996081193,0,137026620,Los Lagos
368109930,1503141455,0,85807827,Río Claro
368109930,996081684,0,1157190626,Regimiento Arica
368119514,5308585195,0,32025174,Camilo Henríquez
368119514,1064753457,0,1149931969,Aníbal Pinto
368119593,2382868759,0,137363569,Aníbal Pinto
368119593,368119682,0,[137363569, 1116545845],Aníbal Pinto
368119682,1068515188,0,[32025153, 1116545843, 1150709398, 1150709399],['José Santiago Aldunate', 'Regimiento Coquimbo']
368119682,1054543886,0,[1116545844, 562358340],José Santiago Aldunate
368119682,368119593,0,[137363569, 1116545845],Aníbal Pinto
401399069,1064724985,0,142064011,José Manuel Borgoño
401399069,359305637,0,212548423,Bellamar
401399071,699224356,0,94665780,José Manuel Borgoño
401399071,699225796,0,277031644,José Santiago Aldunate
401399072,2346838128,0,229184682,Avenida Costanera
401399072,1054543771,0,588446365,Borgoño
401399073,368119514,0,442510749,Aníbal Pinto
401399073,1068959732,0,1149920096,Diego Portales Palazuelos
401399074,401399083,0,277031644,José Santiago Aldunate
401399074,401399073,0,1149920096,Diego Portales Palazuelos
401399075,1001260203,0,229184686,Avenida Costanera
401399075,1001283555,0,1116562971,Diego Portales Palazuelos
401399076,5620189933,0,228413408,Borgoño
401399076,401399072,0,227695028,José Manuel Borgoño
401399082,2346838125,0,34577864,Adelaida Cathalifaud de Meléndez
401399083,699224351,0,229184681,Juan Agustín Alcalde
401399083,703549731,0,277031644,José Santiago Aldunate
401399084,401399083,0,229184681,Juan Agustín Alcalde
401399084,401399073,0,442510749,Aníbal Pinto
401399085,1064752997,0,211154205,Juan Agustín Alcalde
401399085,1064753018,0,211154205,Juan Agustín Alcalde
401399085,1064753459,0,1149968650,Manuel Rodríguez
401399085,1064753362,0,1149968651,Manuel Rodríguez
401399086,1064725004,0,142064010,Juan Agustín Alcalde
401399086,1067140478,0,142064010,Juan Agustín Alcalde
401399086,359305408,0,212548422,Luis Ayala
401399086,359305483,0,212548422,Luis Ayala
401399088,1054543871,0,32709984,Aníbal Pinto
401399088,401399089,0,34577867,Ramón Freire
401399089,1054544011,0,1150248071,José Santiago Aldunate
401399089,1054544113,0,34577867,Ramón Freire
401399090,5421547890,0,227695035,Avenida Francisco Varela
401399091,1001259204,0,547310461,25 de Mayo
401399091,1001258825,0,711582329,12 de Febrero
401399091,1001258826,0,711582329,12 de Febrero
401399094,1054544176,0,229184688,nan
401399094,1054544214,0,229184684,Avenida Costanera
495811958,3748750624,0,1116602110,Ruta D-440
495811958,7419322946,0,1116602111,Ruta D-440
495811958,7419322950,0,1116602112,Ruta D-510
495832689,1550468903,0,28381011,Ruta D-51
495832689,1550467268,0,141646310,Avenida Estadio
495832689,5918511936,0,626937353,nan
495832689,7419462879,0,793488567,21 de Mayo
495832689,8667922777,0,28381011,Ruta D-51
495832753,4737521853,0,[1109650875, 1109650876, 1109650877, 1109650900],Ruta 43
495832916,7426567953,0,1111108281,Ruta D-423
495832916,5189443262,0,[1109717578, 1109717579, 1109717583, 1109717585, 1111108282],Ruta 43
535681714,1001258838,0,1148678072,Domeyko
680484742,6928762538,0,740024265,Los Lagos
680484742,680484755,0,1154814347,Regimiento Arica
680484755,6928762535,0,1154814346,Los Lagos
680484755,5732577956,0,1154814348,Regimiento Arica
680614658,699447009,0,55667620,Las Siempre Vivas
680614658,699447006,0,55667620,Las Siempre Vivas
680614658,703546578,0,372544517,Avenida Las Flores
680614658,703546579,0,1146805612,Avenida Las Flores
680614726,1860949329,0,1146805622,Avenida Las Flores
682102866,1547955152,0,681308347,nan
682102866,1501687813,0,1087040511,Ambrosio O'Higgins
682102866,6565480919,0,1160290013,Avenida El Sauce
683401004,3747119254,0,106732945,Los Pescadores
683401004,4083249194,0,248950726,Peñuelas Norte
683401004,1054608973,0,1154125926,Los Pescadores
683401004,4103868220,0,1154308228,Peñuelas Norte
683401018,2705042509,0,264854170,Antártica
683401018,2705042514,0,343702042,Avenida Los Pescadores
683401018,1054600102,0,[343702042, 242079923],Avenida Los Pescadores
683403524,1068577059,0,91979906,Los Álamos
683403524,1068577585,0,1147928920,Avenida Los Clarines
683403524,1068577347,0,91979906,Los Álamos
683403589,683414746,0,54180515,Francisco de Paula Carmona
683403589,1068577158,0,91979854,Francisco de Paula Carmona
683403589,1501754941,0,1147928919,Los Álamos
683414744,1068577506,0,568785027,Avenida El Sauce
683414744,1069061317,0,54180517,Jenaro Díaz
683414744,2316628617,0,1148011249,Avenida El Sauce
683414746,683403589,0,54180515,Francisco de Paula Carmona
683414746,1068577639,0,711689220,Francisco de Paula Carmona
683776802,7661636894,0,212557864,Avenida El Sauce
683776802,2475717170,0,212557864,Avenida El Sauce
683776802,2475717170,1,239802458,Capitán Pedro de Lisperguer
683776954,683776960,0,92188977,Leopoldo Julio Legay
683776954,1070158240,0,92188977,Leopoldo Julio Legay
683776954,703546579,0,1146805612,Avenida Las Flores
683776954,3753350390,0,377305839,Avenida Las Flores
683776956,703546578,0,55667622,Las Salvias
683776956,699447006,0,1146805610,Los Geranios
683776956,1070157750,0,1146805611,Los Geranios
683776958,703546579,0,54224315,Las Zinnias
683776958,1070158240,0,1146805609,Los Geranios
683776958,699447006,0,1146805610,Los Geranios
683776959,712746364,0,54224315,Las Zinnias
683776959,703546579,0,54224315,Las Zinnias
683776959,7267900847,0,54224316,Los Ceibos
683776959,699447009,0,54224316,Los Ceibos
683776960,7267900847,0,54224316,Los Ceibos
683776960,683776954,0,92188977,Leopoldo Julio Legay
683776960,1860949290,0,54224316,Los Ceibos
683778636,683778638,0,54224466,Alberto Castex Taborga
683778636,1860949428,0,1146805617,Avenida Las Flores
683778636,683778637,0,1146805617,Avenida Las Flores
683778637,683778636,0,1146805617,Avenida Las Flores
683778637,1860949397,0,1146805617,Avenida Las Flores
683778638,2705942594,0,372544523,Alberto Castex Taborga
683778641,2705942603,0,264944932,Alberto Castex Taborga
683778641,2705942600,0,372544523,Alberto Castex Taborga
683778642,2705942594,0,264944929,Hernan Vera Lamperein
683778642,683778644,0,372544523,Alberto Castex Taborga
683778644,683778637,0,372544522,Alberto Castex Taborga
683778644,683778638,0,372544523,Alberto Castex Taborga
683778723,1054600006,0,1154125930,Avenida Peñuelas Sur
683778723,713901195,0,106732944,Avenida Peñuelas Sur
683778723,1054608973,0,1154125928,Los Pescadores
699224351,699224355,0,212546528,Juan de Dios Melgarejo
699224351,1001283560,0,229184681,Juan Agustín Alcalde
699224352,703549731,0,41770896,Pablo Garriga
699224352,699224351,0,212546528,Juan de Dios Melgarejo
699224354,5308585196,0,[227695044, 399517868],['Juan de Dios Melgarejo', 'Juan Antonio Ríos']
699224354,2363379168,0,1149743092,Camilo Henríquez
699224355,401399074,0,1116562952,Diego Portales Palazuelos
699224355,699224354,0,[212546528, 1149743090],Juan de Dios Melgarejo
699224356,699224352,0,212546528,Juan de Dios Melgarejo
699224356,2363379159,0,227695025,José Manuel Borgoño
699224357,1054544043,0,91973581,Juan Gregorio Las Heras
699224357,699225793,0,212546528,Juan de Dios Melgarejo
699224358,2363379149,0,227695050,Juan Gregorio Las Heras
